PhraseId,Sentiment
156061,3
156062,3
156063,2
156064,3
156065,2
156066,2
156067,2
156068,2
156069,2
156070,2
156071,2
156072,2
156073,2
156074,3
156075,2
156076,1
156077,2
156078,1
156079,1
156080,1
156081,2
156082,1
156083,3
156084,1
156085,2
156086,1
156087,2
156088,1
156089,3
156090,2
156091,3
156092,3
156093,3
156094,3
156095,2
156096,3
156097,3
156098,3
156099,3
156100,2
156101,2
156102,2
156103,2
156104,2
156105,2
156106,2
156107,2
156108,2
156109,2
156110,2
156111,2
156112,2
156113,2
156114,2
156115,2
156116,2
156117,2
156118,2
156119,2
156120,2
156121,2
156122,2
156123,2
156124,2
156125,2
156126,2
156127,2
156128,3
156129,2
156130,3
156131,3
156132,0
156133,0
156134,0
156135,2
156136,2
156137,2
156138,2
156139,2
156140,2
156141,2
156142,2
156143,2
156144,2
156145,2
156146,2
156147,3
156148,3
156149,3
156150,2
156151,3
156152,2
156153,3
156154,0
156155,0
156156,2
156157,0
156158,2
156159,0
156160,0
156161,2
156162,2
156163,2
156164,2
156165,2
156166,2
156167,2
156168,2
156169,2
156170,2
156171,2
156172,2
156173,2
156174,2
156175,2
156176,2
156177,2
156178,0
156179,2
156180,0
156181,0
156182,2
156183,0
156184,2
156185,0
156186,1
156187,1
156188,1
156189,2
156190,1
156191,1
156192,1
156193,1
156194,2
156195,2
156196,2
156197,2
156198,2
156199,2
156200,2
156201,3
156202,2
156203,3
156204,2
156205,3
156206,2
156207,3
156208,2
156209,3
156210,3
156211,2
156212,2
156213,2
156214,2
156215,2
156216,3
156217,3
156218,2
156219,3
156220,2
156221,3
156222,3
156223,2
156224,2
156225,2
156226,2
156227,2
156228,2
156229,2
156230,2
156231,2
156232,2
156233,2
156234,2
156235,2
156236,3
156237,2
156238,3
156239,3
156240,3
156241,3
156242,3
156243,2
156244,2
156245,2
156246,2
156247,2
156248,2
156249,2
156250,3
156251,3
156252,1
156253,1
156254,1
156255,1
156256,1
156257,1
156258,2
156259,1
156260,2
156261,2
156262,3
156263,3
156264,3
156265,2
156266,3
156267,3
156268,3
156269,3
156270,3
156271,2
156272,1
156273,2
156274,1
156275,1
156276,1
156277,1
156278,2
156279,2
156280,2
156281,2
156282,2
156283,2
156284,2
156285,2
156286,1
156287,4
156288,4
